name,time,quantity
ดอนเมือง,apr_61,6297.95
ดินแดง,apr_61,8569.7
ดุสิต,apr_61,4859.39
ตลิ่งชัน,apr_61,4524.61
ทวีวัฒนา,apr_61,3122.74
ทุ่งครุ,apr_61,4327.12
ธนบุรี,apr_61,4911.99
บางกอกน้อย,apr_61,4998.14
บางกอกใหญ่,apr_61,2297.14
บางกะปิ,apr_61,9989.96
บางขุนเทียน,apr_61,9947.26
บางเขน,apr_61,8955.44
บางคอแหลม,apr_61,4047.56
บางแค,apr_61,8297.84
บางซื่อ,apr_61,4861.2
บางนา,apr_61,6600.62
บางบอน,apr_61,6597.85
บางพลัด,apr_61,4704.84
บางรัก,apr_61,4352.92
บึงกุ่ม,apr_61,5968.32
ปทุมวัน,apr_61,8985.14
ประเวศ,apr_61,8472.81
ป้อมปราบศัตรูพ่าย,apr_61,2352.31
พญาไท,apr_61,5042.16
พระโขนง,apr_61,4252.77
พระนคร,apr_61,5853.09
ภาษีเจริญ,apr_61,4683.46
มีนบุรี,apr_61,5546.15
ยานนาวา,apr_61,5429.96
ราชเทวี,apr_61,6552.85
ราษฎร์บูรณะ,apr_61,3619.44
ลาดกระบัง,apr_61,8552.31
ลาดพร้าว,apr_61,6291.32
วังทองหลาง,apr_61,6805.94
วัฒนา,apr_61,8399.55
สวนหลวง,apr_61,6920.39
สะพานสูง,apr_61,3751.7
สัมพันธวงศ์,apr_61,1548.76
สาทร,apr_61,4735.55
สายไหม,apr_61,6997.78
หนองแขม,apr_61,4998.62
หนองจอก,apr_61,4023.82
หลักสี่,apr_61,5452.7
ห้วยขวาง,apr_61,6778.21
อื่นๆ,apr_61,15837.7
คลองเตย,may_61,9585.28
คลองสาน,may_61,4045.37
คลองสามวา,may_61,6388.36
คันนายาว,may_61,5109.66
จตุจักร,may_61,14280.4
จอมทอง,may_61,7029.14
ดอนเมือง,may_61,7098.63
ดินแดง,may_61,9490.48
ดุสิต,may_61,5649.7
ตลิ่งชัน,may_61,5099.72
ทวีวัฒนา,may_61,3669.53
ทุ่งครุ,may_61,4701.27
ธนบุรี,may_61,5277.54
บางกอกน้อย,may_61,5567.5
บางกอกใหญ่,may_61,2578.43
บางกะปิ,may_61,11089.7
บางขุนเทียน,may_61,11028.5
บางเขน,may_61,10302.5
บางคอแหลม,may_61,4449.02
บางแค,may_61,9489.45
บางซื่อ,may_61,5603.5
บางนา,may_61,7384.71
บางบอน,may_61,7399.51
บางพลัด,may_61,5200.05
บางรัก,may_61,4897.93
บึงกุ่ม,may_61,6839.91
ปทุมวัน,may_61,9570.61
ประเวศ,may_61,9779.03
ป้อมปราบศัตรูพ่าย,may_61,2600.79
พญาไท,may_61,5678.83
พระโขนง,may_61,4802.6
พระนคร,may_61,6193.28
ภาษีเจริญ,may_61,5231.48
มีนบุรี,may_61,6321.72
ยานนาวา,may_61,6286.38
ราชเทวี,may_61,7166.17
ราษฎร์บูรณะ,may_61,3890.15
ลาดกระบัง,may_61,9977.51
ลาดพร้าว,may_61,7015.59
วังทองหลาง,may_61,7595.19
วัฒนา,may_61,9048.93
สวนหลวง,may_61,7775.62
สะพานสูง,may_61,4200.5
สัมพันธวงศ์,may_61,1705.14
สาทร,may_61,5267.05
สายไหม,may_61,8052.39
หนองแขม,may_61,5698.06
หนองจอก,may_61,4572.32
หลักสี่,may_61,6223.68
ห้วยขวาง,may_61,7294.57
อื่นๆ,may_61,19220.53
คลองเตย,jun_61,9290.67
คลองสาน,jun_61,3797.35
คลองสามวา,jun_61,6258.45
คันนายาว,jun_61,4733.23
จตุจักร,jun_61,13604.8
จอมทอง,jun_61,6733.89
ดอนเมือง,jun_61,6542.69
ดินแดง,jun_61,9011.95
